farmers_ahead,total_qty_ahead_kg,quantity_kg,crop_type,produce_quality_grade,active_counters,staff_present,center_daily_capacity_quintals,vehicle_type,slot_hour,day_of_week,is_harvest_peak_season,weather_condition,actual_wait_time_minutes
5,7300,610,Paddy,Grade A,3,5,1500,Tractor Trolley,14,5,0,Clear,29.6
17,15900,680,Maize,Grade A,4,7,1000,Mini Truck (Pickup),12,0,0,Light Rain,74.3
10,14900,3310,Paddy,Grade B,3,3,2500,Bullock Cart,13,2,0,Clear,86.1
5,4900,500,Paddy,Grade A,3,9,1500,Tractor Trolley,12,3,0,Clear,29.1
10,13200,920,Paddy,Grade A,1,4,1500,Mini Truck (Pickup),13,3,1,Overcast,108.8
10,11100,920,Wheat,Grade C (High Moisture),3,6,500,Tractor Trolley,10,3,1,Clear,78.4
9,8400,600,Chana,Grade A,2,8,1000,Tractor Trolley,12,4,1,Clear,52.2
5,5200,340,Wheat,Grade A,3,8,1000,Tractor Trolley,9,4,1,Clear,20.4
9,10700,1040,Paddy,Grade A,2,9,1000,Tractor Trolley,12,5,0,Clear,43.0
3,2900,270,Wheat,Grade B,5,12,1000,Bullock Cart,15,0,0,Overcast,10.0
8,7800,640,Paddy,Grade A,2,4,1500,Truck (6-Wheeler),16,4,1,Clear,78.4
8,11400,2170,Chana,Grade A,3,7,1500,Tractor Trolley,13,1,0,Clear,29.6
4,4800,920,Wheat,Grade A,3,8,1000,Mini Truck (Pickup),14,4,1,Clear,20.9
6,8000,1690,Paddy,Grade B,5,11,1500,Tractor Trolley,12,4,0,Clear,26.2
5,7100,710,Wheat,Grade B,2,4,500,Tractor Trolley,10,2,0,Overcast,45.9
4,4400,810,Maize,Grade C (High Moisture),3,7,1000,Mini Truck (Pickup),9,0,0,Clear,21.7
12,12300,1010,Mustard,Grade B,2,3,1500,Bullock Cart,13,4,1,Clear,188.8
7,8800,1240,Mustard,Grade B,2,8,1000,Tractor Trolley,15,2,0,Overcast,45.5
13,14600,2730,Paddy,Grade B,3,12,1500,Mini Truck (Pickup),11,0,1,Clear,62.2
5,5200,550,Soybean,Grade A,2,4,1500,Tractor Trolley,8,5,0,Light Rain,47.5
13,14100,470,Paddy,Grade A,3,9,1000,Tractor Trolley,12,5,0,Clear,50.8
7,7600,910,Cotton,Grade B,3,4,1000,Tractor Trolley,10,5,1,Clear,78.0
5,5700,3360,Mustard,Grade C (High Moisture),2,4,1500,Bullock Cart,14,2,1,Clear,70.5
14,14900,4980,Cotton,Grade B,1,4,500,Tractor Trolley,13,5,0,Clear,196.4
9,11800,240,Wheat,Grade A,1,2,1000,Mini Truck (Pickup),10,1,1,Clear,113.4
6,8100,990,Paddy,Grade C (High Moisture),3,9,1500,Mini Truck (Pickup),8,5,1,Overcast,34.9
6,6500,680,Wheat,Grade B,3,7,2500,Mini Truck (Pickup),13,3,0,Clear,29.1
1,1400,1210,Paddy,Grade B,2,5,2500,Bullock Cart,14,3,0,Clear,10.1
5,6300,330,Cotton,Grade B,2,9,4000,Tractor Trolley,17,6,0,Clear,39.3
3,3400,1200,Wheat,Grade B,3,9,1000,Tractor Trolley,14,1,0,Clear,9.7
6,8000,1850,Mustard,Grade A,2,3,1500,Truck (6-Wheeler),13,0,0,Light Rain,90.5
3,4200,5000,Soybean,Grade A,3,6,1500,Tractor Trolley,10,1,0,Clear,21.4
3,3200,1690,Paddy,Grade C (High Moisture),3,5,1500,Tractor Trolley,12,4,0,Clear,25.4
2,2800,1730,Wheat,Grade A,1,2,4000,Tractor Trolley,15,3,0,Overcast,28.4
5,5200,2150,Soybean,Grade B,2,4,1000,Tractor Trolley,11,0,0,Clear,46.2
8,7600,710,Mustard,Grade A,4,7,4000,Truck (6-Wheeler),12,5,0,Overcast,50.2
5,6100,1900,Wheat,Grade C (High Moisture),3,10,4000,Tractor Trolley,14,0,1,Clear,27.6
18,26800,1950,Paddy,Grade B,4,8,1000,Tractor Trolley,11,0,1,Overcast,88.9
2,1800,560,Mustard,Grade B,3,8,1500,Tractor Trolley,14,1,1,Clear,18.2
11,10200,160,Cotton,Grade A,3,6,1500,Tractor Trolley,12,0,0,Clear,69.4
2,2300,1330,Cotton,Grade A,1,2,1000,Mini Truck (Pickup),10,2,0,Clear,40.6
8,10700,540,Cotton,Grade B,3,6,1500,Tractor Trolley,12,6,0,Overcast,62.6
3,3600,800,Maize,Grade A,2,5,1500,Tractor Trolley,10,0,0,Overcast,21.0
4,4200,2210,Paddy,Grade B,3,12,1500,Mini Truck (Pickup),14,2,1,Clear,21.4
3,3800,1170,Mustard,Grade B,2,5,4000,Mini Truck (Pickup),15,3,1,Clear,28.4
2,2000,1270,Sugarcane,Grade B,5,12,2500,Mini Truck (Pickup),9,0,0,Clear,6.6
9,8500,1370,Paddy,Grade A,4,6,4000,Tractor Trolley,13,2,0,Clear,40.8
6,5800,830,Maize,Grade A,4,8,500,Tractor Trolley,10,1,0,Light Rain,32.9
2,2100,970,Wheat,Grade B,2,2,1000,Mini Truck (Pickup),15,2,1,Clear,24.3
13,14700,2640,Paddy,Grade A,3,6,1000,Truck (6-Wheeler),13,2,0,Clear,82.9
8,8000,3010,Chana,Grade B,4,6,1500,Tractor Trolley,10,5,1,Clear,50.4
12,16800,1370,Wheat,Grade A,3,11,1500,Tractor Trolley,10,0,1,Overcast,55.0
10,12400,520,Wheat,Grade A,3,2,1500,Tractor Trolley,12,0,1,Clear,58.1
7,6600,1280,Paddy,Grade A,3,6,1500,Tractor Trolley,9,2,1,Clear,37.8
8,10000,520,Paddy,Grade A,3,7,1500,Tractor Trolley,13,3,0,Clear,39.7
10,9700,700,Mustard,Grade B,3,12,1000,Tractor Trolley,13,0,0,Overcast,53.1
11,11400,1300,Wheat,Grade A,2,4,500,Mini Truck (Pickup),10,2,1,Clear,75.5
12,16100,2880,Wheat,Grade A,4,8,1500,Mini Truck (Pickup),11,2,0,Clear,37.9
9,10700,840,Paddy,Grade A,2,7,4000,Tractor Trolley,13,2,1,Clear,58.3
4,5200,2400,Cotton,Grade B,1,2,1000,Tractor Trolley,16,4,0,Clear,78.7
7,9300,550,Cotton,Grade B,3,9,1500,Truck (6-Wheeler),12,5,0,Clear,48.5
7,9500,880,Cotton,Grade A,4,9,1500,Mini Truck (Pickup),8,4,1,Clear,30.5
2,2500,1140,Cotton,Grade A,2,4,1000,Bullock Cart,15,0,0,Clear,24.5
6,9000,1060,Wheat,Grade C (High Moisture),2,11,1500,Tractor Trolley,11,0,0,Light Rain,57.1
7,8000,870,Maize,Grade A,3,7,1500,Mini Truck (Pickup),15,4,0,Clear,25.8
10,10800,520,Wheat,Grade A,4,9,500,Tractor Trolley,11,4,1,Clear,40.4
4,5900,540,Wheat,Grade A,3,4,2500,Mini Truck (Pickup),14,3,0,Clear,23.7
11,14500,1980,Mustard,Grade A,3,8,4000,Mini Truck (Pickup),12,4,1,Heavy Rain,90.1
14,17000,1790,Wheat,Grade B,5,12,1500,Tractor Trolley,11,0,1,Clear,46.3
4,5400,1020,Paddy,Grade A,3,4,1500,Truck (6-Wheeler),11,4,0,Clear,33.6
7,9800,690,Paddy,Grade A,2,2,1500,Tractor Trolley,12,4,1,Clear,72.9
6,5900,1130,Cotton,Grade A,2,9,1000,Tractor Trolley,14,0,1,Clear,47.2
14,20100,2040,Paddy,Grade A,3,10,1500,Tractor Trolley,12,0,1,Clear,56.0
16,17500,590,Sugarcane,Grade B,2,7,1000,Tractor Trolley,10,2,1,Clear,107.1
5,7300,1910,Paddy,Grade A,2,3,2500,Tractor Trolley,9,0,1,Clear,53.4
5,6400,630,Mustard,Grade C (High Moisture),2,5,1000,Tractor Trolley,10,2,0,Clear,50.7
7,9000,1450,Soybean,Grade B,4,4,4000,Tractor Trolley,11,3,0,Clear,51.1
8,10400,410,Mustard,Grade B,1,4,1500,Tractor Trolley,11,4,0,Clear,111.5
4,4200,2170,Cotton,Grade A,3,7,1500,Bullock Cart,9,4,1,Clear,28.2
8,10300,800,Cotton,Grade A,3,7,500,Tractor Trolley,11,0,1,Light Rain,56.7
7,8700,2050,Paddy,Grade B,3,7,1500,Tractor Trolley,12,2,0,Clear,37.2
6,6500,2000,Maize,Grade A,4,7,1000,Bullock Cart,13,4,0,Clear,40.7
4,5400,730,Wheat,Grade B,5,10,1000,Tractor Trolley,10,1,0,Overcast,21.9
3,3500,1010,Soybean,Grade A,2,9,2500,Tractor Trolley,9,3,0,Overcast,21.9
11,10900,1270,Cotton,Grade A,2,4,500,Tractor Trolley,11,4,1,Clear,111.1
11,12900,1900,Soybean,Grade B,2,6,2500,Mini Truck (Pickup),10,3,0,Clear,73.5
4,3800,1150,Wheat,Grade B,4,6,2500,Mini Truck (Pickup),9,5,0,Overcast,25.6
12,14000,2980,Soybean,Grade B,3,12,4000,Tractor Trolley,13,0,1,Clear,69.5
12,13000,1980,Wheat,Grade B,4,8,500,Truck (6-Wheeler),13,1,1,Clear,67.7
4,5500,860,Mustard,Grade A,4,7,1000,Tractor Trolley,8,1,1,Clear,27.5
2,2700,810,Paddy,Grade B,1,4,500,Truck (6-Wheeler),14,0,0,Overcast,40.1
7,8300,1290,Mustard,Grade A,2,5,1500,Tractor Trolley,10,3,0,Clear,50.5
13,15000,960,Mustard,Grade A,2,4,1500,Tractor Trolley,11,3,0,Overcast,95.0
7,9700,390,Wheat,Grade A,5,12,1500,Mini Truck (Pickup),11,4,0,Clear,18.9
10,10500,3120,Cotton,Grade B,2,4,1500,Tractor Trolley,10,4,1,Clear,111.3
14,14600,680,Wheat,Grade A,3,6,2500,Tractor Trolley,11,0,1,Clear,63.3
7,7800,560,Cotton,Grade A,1,2,500,Tractor Trolley,11,3,0,Clear,124.3
11,13400,2720,Mustard,Grade A,3,4,2500,Truck (6-Wheeler),13,0,0,Overcast,106.4
7,7700,700,Wheat,Grade B,3,4,1500,Tractor Trolley,15,0,1,Clear,51.5
9,12000,1550,Cotton,Grade B,3,10,1500,Truck (6-Wheeler),13,4,0,Clear,61.9
11,10000,360,Cotton,Grade B,3,4,1500,Mini Truck (Pickup),15,6,1,Clear,103.7
2,2700,1040,Paddy,Grade C (High Moisture),2,4,1500,Tractor Trolley,16,0,1,Clear,23.0
6,5800,910,Chana,Grade B,3,11,1000,Tractor Trolley,11,4,0,Clear,30.7
7,9200,760,Cotton,Grade A,1,2,500,Tractor Trolley,11,3,0,Light Rain,130.5
9,11900,2000,Wheat,Grade B,2,2,1000,Tractor Trolley,11,2,0,Clear,83.1
8,11700,910,Wheat,Grade B,2,7,1000,Mini Truck (Pickup),13,0,0,Clear,42.8
4,5000,2120,Cotton,Grade A,2,4,500,Tractor Trolley,13,1,0,Overcast,40.0
2,2500,1340,Paddy,Grade A,2,4,1000,Truck (6-Wheeler),17,2,1,Clear,22.8
5,6800,560,Wheat,Grade B,2,6,1500,Tractor Trolley,9,2,1,Overcast,33.3
9,8100,760,Wheat,Grade A,1,2,1500,Truck (6-Wheeler),14,0,1,Overcast,146.3
1,1200,460,Cotton,Grade B,2,3,1000,Tractor Trolley,15,0,0,Clear,17.6
4,3800,350,Cotton,Grade A,3,7,4000,Tractor Trolley,11,4,0,Clear,25.2
8,9500,3100,Wheat,Grade C (High Moisture),3,2,1500,Bullock Cart,11,4,0,Light Rain,88.3
6,8400,560,Cotton,Grade B,1,2,4000,Mini Truck (Pickup),8,0,1,Clear,121.4
12,15100,900,Chana,Grade C (High Moisture),2,3,1000,Truck (6-Wheeler),13,0,1,Clear,205.5
5,7300,1040,Sugarcane,Grade A,3,6,500,Truck (6-Wheeler),11,1,0,Clear,34.9
18,25400,1460,Soybean,Grade B,2,6,1000,Mini Truck (Pickup),12,2,1,Clear,133.9
4,4800,1520,Maize,Grade B,3,7,1000,Tractor Trolley,11,1,1,Clear,30.8
4,5200,770,Wheat,Grade A,3,7,1500,Tractor Trolley,16,5,0,Clear,15.6
8,7300,1660,Wheat,Grade A,1,2,4000,Tractor Trolley,10,2,0,Clear,94.9
5,6500,860,Paddy,Grade A,4,9,2500,Tractor Trolley,11,5,1,Overcast,28.0
6,7300,680,Cotton,Grade C (High Moisture),3,5,1500,Mini Truck (Pickup),10,6,0,Light Rain,71.4
13,12000,350,Soybean,Grade A,1,4,2500,Mini Truck (Pickup),11,1,1,Clear,154.7
11,15900,800,Wheat,Grade A,3,12,500,Mini Truck (Pickup),11,2,1,Clear,43.8
5,6800,1060,Paddy,Grade B,4,9,1500,Mini Truck (Pickup),11,0,0,Clear,24.4
7,9300,1850,Mustard,Grade B,4,11,1500,Bullock Cart,10,2,0,Clear,36.3
7,6300,3720,Paddy,Grade A,3,4,1000,Tractor Trolley,10,3,0,Clear,48.8
11,11100,1330,Paddy,Grade C (High Moisture),2,5,1000,Bullock Cart,12,3,1,Overcast,116.7
4,5900,4290,Wheat,Grade B,2,4,1500,Mini Truck (Pickup),14,6,0,Overcast,30.4
13,14200,1190,Sugarcane,Grade A,1,2,1500,Truck (6-Wheeler),12,2,1,Overcast,240.0
1,1400,370,Paddy,Grade B,2,8,1000,Truck (6-Wheeler),10,2,0,Overcast,13.5
7,10100,930,Cotton,Grade B,2,9,500,Tractor Trolley,15,3,0,Clear,51.1
4,5500,800,Wheat,Grade A,3,6,1500,Mini Truck (Pickup),14,6,1,Clear,22.0
4,3800,1380,Cotton,Grade B,2,8,2500,Mini Truck (Pickup),8,6,0,Clear,27.2
6,6800,1640,Wheat,Grade B,3,11,500,Tractor Trolley,13,0,0,Clear,28.6
9,11300,1210,Wheat,Grade B,3,4,500,Tractor Trolley,10,4,0,Clear,67.4
5,7000,900,Wheat,Grade A,3,6,1000,Tractor Trolley,8,1,0,Overcast,24.4
13,16700,620,Wheat,Grade A,1,5,500,Tractor Trolley,10,5,1,Clear,124.2
5,5500,1260,Cotton,Grade A,2,3,1500,Mini Truck (Pickup),10,4,0,Overcast,61.2
5,7100,2630,Paddy,Grade A,2,8,1000,Tractor Trolley,11,3,0,Clear,34.8
8,7800,2640,Soybean,Grade C (High Moisture),4,12,1000,Tractor Trolley,11,5,0,Clear,36.5
20,26900,1010,Wheat,Grade B,4,9,2500,Tractor Trolley,10,1,1,Overcast,80.4
3,4000,1060,Wheat,Grade A,1,3,1500,Tractor Trolley,12,2,0,Clear,33.0
5,5200,1270,Soybean,Grade B,3,11,1000,Tractor Trolley,11,3,0,Overcast,31.3
13,17700,1020,Wheat,Grade A,3,4,1000,Truck (6-Wheeler),12,4,0,Clear,90.5
2,2400,3740,Wheat,Grade A,2,4,1000,Truck (6-Wheeler),15,2,0,Overcast,17.7
6,7100,850,Wheat,Grade A,3,4,2500,Bullock Cart,10,3,1,Clear,54.6
10,10600,1520,Maize,Grade A,4,7,1500,Tractor Trolley,10,0,1,Overcast,43.8
12,17800,930,Maize,Grade A,2,5,4000,Mini Truck (Pickup),10,2,1,Clear,74.7
7,6700,2170,Paddy,Grade A,2,3,500,Mini Truck (Pickup),10,0,0,Overcast,58.2
16,15600,680,Mustard,Grade B,4,9,2500,Truck (6-Wheeler),10,1,1,Clear,92.1
4,4600,1750,Cotton,Grade A,2,5,500,Tractor Trolley,16,5,1,Clear,34.9
4,4300,440,Soybean,Grade A,2,5,1500,Tractor Trolley,14,3,0,Clear,26.4
2,2900,600,Wheat,Grade B,3,4,4000,Tractor Trolley,9,4,0,Clear,16.9
4,3900,1430,Maize,Grade A,4,11,4000,Tractor Trolley,9,5,0,Overcast,15.2
14,13900,850,Wheat,Grade B,5,10,1000,Tractor Trolley,12,0,0,Clear,44.9
5,5000,1680,Paddy,Grade A,3,12,500,Tractor Trolley,8,3,1,Overcast,25.3
2,2200,400,Wheat,Grade A,2,5,1500,Mini Truck (Pickup),17,5,0,Clear,10.6
5,5200,1080,Mustard,Grade A,2,6,1000,Truck (6-Wheeler),9,1,1,Overcast,46.3
2,2900,2480,Mustard,Grade B,3,7,1000,Mini Truck (Pickup),16,0,0,Overcast,11.9
13,12600,1180,Cotton,Grade B,5,7,1000,Mini Truck (Pickup),11,0,1,Overcast,88.6
10,11800,740,Mustard,Grade A,5,12,1500,Tractor Trolley,11,5,1,Clear,30.5
6,6600,1820,Mustard,Grade A,3,7,1000,Tractor Trolley,10,2,0,Clear,34.8
7,7500,400,Maize,Grade B,2,2,1500,Truck (6-Wheeler),12,4,0,Clear,92.5
14,16200,1090,Wheat,Grade A,2,5,2500,Truck (6-Wheeler),13,0,0,Clear,91.3
8,9500,890,Paddy,Grade A,4,7,1000,Mini Truck (Pickup),11,0,1,Clear,39.7
16,20600,1290,Wheat,Grade A,3,5,1500,Tractor Trolley,12,1,1,Clear,85.9
4,3900,1340,Paddy,Grade A,2,4,500,Tractor Trolley,9,0,1,Clear,35.8
6,5700,990,Mustard,Grade A,3,5,1000,Mini Truck (Pickup),10,5,0,Clear,44.8
7,7000,1970,Mustard,Grade B,3,4,500,Tractor Trolley,17,3,1,Clear,65.0
9,11900,1540,Mustard,Grade A,4,6,2500,Truck (6-Wheeler),13,0,0,Clear,64.7
6,6200,660,Paddy,Grade B,1,5,1500,Mini Truck (Pickup),9,0,0,Clear,59.4
8,11700,1290,Mustard,Grade B,3,5,1000,Tractor Trolley,13,3,0,Light Rain,66.1
5,7200,1700,Paddy,Grade C (High Moisture),2,6,2500,Tractor Trolley,9,5,1,Clear,45.2
3,3200,340,Chana,Grade A,2,10,1500,Tractor Trolley,9,1,0,Overcast,16.8
4,5300,1300,Paddy,Grade B,3,6,1000,Tractor Trolley,11,5,1,Overcast,40.2
15,16800,1730,Cotton,Grade B,4,8,1500,Mini Truck (Pickup),11,5,0,Overcast,81.9
8,9700,750,Maize,Grade B,3,5,1500,Tractor Trolley,12,6,0,Overcast,56.5
4,3600,1680,Soybean,Grade B,2,5,1500,Tractor Trolley,9,2,1,Light Rain,42.4
12,15200,1290,Paddy,Grade B,3,5,1500,Mini Truck (Pickup),13,3,1,Clear,86.9
10,12500,1110,Paddy,Grade B,2,7,1500,Tractor Trolley,10,2,0,Overcast,66.0
5,4700,1490,Paddy,Grade A,3,5,4000,Bullock Cart,14,1,1,Clear,36.8
6,7300,1630,Paddy,Grade A,3,12,2500,Tractor Trolley,12,5,1,Clear,36.9
11,10000,1050,Mustard,Grade B,1,3,1500,Mini Truck (Pickup),12,0,1,Clear,157.4
7,9000,1190,Chana,Grade A,5,11,1500,Truck (6-Wheeler),11,4,0,Clear,26.3
8,12000,1120,Wheat,Grade A,3,7,1000,Tractor Trolley,10,2,0,Clear,36.0
11,16200,230,Cotton,Grade C (High Moisture),2,8,2500,Tractor Trolley,10,3,0,Heavy Rain,134.8
10,11600,610,Soybean,Grade C (High Moisture),3,12,1000,Tractor Trolley,13,4,1,Overcast,72.0
1,1100,3700,Wheat,Grade A,4,9,500,Tractor Trolley,15,4,0,Clear,3.0
3,4000,1410,Paddy,Grade B,2,3,1500,Mini Truck (Pickup),14,5,1,Clear,36.0
5,5400,1190,Soybean,Grade C (High Moisture),4,7,1500,Tractor Trolley,16,2,1,Clear,35.4
7,9200,930,Soybean,Grade A,2,8,4000,Tractor Trolley,9,1,0,Clear,36.7
4,4100,2500,Cotton,Grade A,3,8,1500,Mini Truck (Pickup),10,2,1,Clear,30.2
18,18000,2180,Wheat,Grade C (High Moisture),3,9,1000,Tractor Trolley,13,2,1,Clear,99.4
7,10000,2170,Wheat,Grade A,3,8,4000,Tractor Trolley,12,4,0,Clear,31.6
6,7100,2520,Cotton,Grade B,2,7,500,Tractor Trolley,12,1,0,Clear,49.5
19,22600,2560,Wheat,Grade A,4,9,500,Tractor Trolley,10,4,1,Clear,60.8
8,8500,760,Wheat,Grade B,3,7,500,Tractor Trolley,8,2,0,Clear,34.4
10,11100,1430,Maize,Grade A,3,10,2500,Tractor Trolley,10,5,1,Clear,40.3
7,7300,760,Maize,Grade A,3,6,500,Tractor Trolley,12,1,1,Clear,41.2
11,14500,2330,Soybean,Grade B,4,10,1500,Tractor Trolley,10,5,0,Overcast,47.7
4,4900,1720,Wheat,Grade A,3,12,500,Tractor Trolley,10,2,0,Clear,25.7
15,21700,1190,Wheat,Grade B,2,2,500,Tractor Trolley,12,0,1,Heavy Rain,187.4
8,9800,1970,Maize,Grade B,5,7,500,Tractor Trolley,10,3,0,Clear,38.0
3,3500,1260,Mustard,Grade C (High Moisture),5,7,4000,Truck (6-Wheeler),8,3,0,Clear,25.5
6,8600,1490,Maize,Grade B,5,6,1000,Tractor Trolley,9,0,1,Light Rain,43.9
5,6600,350,Sugarcane,Grade A,1,2,1000,Tractor Trolley,11,5,0,Clear,71.1
7,9500,1140,Soybean,Grade B,3,10,1500,Truck (6-Wheeler),13,0,0,Heavy Rain,63.4
7,10500,2070,Cotton,Grade A,3,9,4000,Tractor Trolley,15,0,1,Clear,40.3
8,10400,540,Paddy,Grade A,5,10,1500,Mini Truck (Pickup),11,3,0,Clear,32.6
7,8700,1330,Cotton,Grade A,3,10,1500,Bullock Cart,13,0,0,Clear,42.6
4,4700,950,Mustard,Grade A,3,8,1500,Tractor Trolley,9,4,0,Clear,14.8
5,4900,1820,Paddy,Grade A,1,5,1500,Mini Truck (Pickup),11,3,0,Clear,54.9
9,11900,1240,Maize,Grade A,2,9,1500,Mini Truck (Pickup),11,0,0,Clear,44.4
6,8200,1020,Wheat,Grade A,3,9,1000,Mini Truck (Pickup),13,4,0,Clear,23.9
6,6400,530,Maize,Grade A,2,4,4000,Tractor Trolley,11,3,0,Heavy Rain,81.8
6,6900,1990,Wheat,Grade A,2,7,1500,Tractor Trolley,11,0,0,Clear,34.3
7,8300,250,Paddy,Grade A,4,3,1000,Tractor Trolley,12,2,0,Clear,38.9
5,4700,1260,Soybean,Grade B,5,12,4000,Truck (6-Wheeler),11,2,0,Clear,28.7
5,5600,1090,Wheat,Grade A,5,11,1500,Bullock Cart,10,1,0,Overcast,21.7
12,17300,840,Cotton,Grade B,3,11,1500,Tractor Trolley,12,2,1,Overcast,76.8
3,4000,1470,Wheat,Grade A,3,7,1500,Tractor Trolley,9,3,1,Clear,17.0
6,5900,1420,Soybean,Grade A,2,3,4000,Tractor Trolley,14,0,0,Heavy Rain,77.7
4,4500,950,Maize,Grade B,1,4,1000,Tractor Trolley,15,0,0,Clear,44.3
6,8000,3730,Chana,Grade A,3,6,1500,Tractor Trolley,13,1,0,Clear,38.6
6,5700,590,Soybean,Grade C (High Moisture),1,3,2500,Mini Truck (Pickup),10,6,0,Clear,89.5
10,10900,1000,Mustard,Grade C (High Moisture),4,7,1500,Mini Truck (Pickup),12,5,0,Overcast,70.1
10,9000,450,Wheat,Grade C (High Moisture),2,5,1000,Tractor Trolley,13,2,1,Light Rain,95.8
3,4100,1060,Paddy,Grade A,3,2,2500,Mini Truck (Pickup),14,4,0,Clear,20.9
9,12200,1530,Paddy,Grade B,4,10,500,Tractor Trolley,11,0,1,Clear,36.2
2,2200,980,Cotton,Grade A,3,11,1500,Tractor Trolley,14,2,0,Overcast,12.0
12,17800,1910,Maize,Grade B,2,3,500,Mini Truck (Pickup),13,4,1,Overcast,132.5
4,4600,2320,Wheat,Grade C (High Moisture),3,7,1500,Tractor Trolley,15,0,0,Clear,26.0
11,14100,1350,Wheat,Grade A,3,4,1500,Mini Truck (Pickup),12,3,0,Clear,58.9
1,1400,2700,Paddy,Grade A,3,8,500,Tractor Trolley,9,1,1,Clear,5.6
13,18700,750,Wheat,Grade A,1,2,1500,Tractor Trolley,10,2,1,Clear,170.1
10,14200,740,Mustard,Grade B,5,8,1500,Tractor Trolley,12,2,0,Clear,51.5
3,3300,840,Cotton,Grade B,1,6,1000,Tractor Trolley,11,5,0,Clear,51.3
13,12600,1590,Maize,Grade A,3,4,2500,Tractor Trolley,12,6,1,Clear,87.9
13,14000,1100,Wheat,Grade B,3,12,1000,Tractor Trolley,12,3,1,Clear,61.9
9,11800,440,Chana,Grade B,3,5,1000,Tractor Trolley,12,4,1,Clear,71.0
6,8400,790,Wheat,Grade C (High Moisture),2,7,1500,Tractor Trolley,11,5,0,Overcast,49.7
13,15600,810,Paddy,Grade A,3,10,2500,Truck (6-Wheeler),11,2,1,Clear,69.2
7,7700,1040,Mustard,Grade A,1,2,1000,Truck (6-Wheeler),11,2,0,Light Rain,144.0
7,7400,4890,Wheat,Grade C (High Moisture),2,10,500,Tractor Trolley,11,5,1,Overcast,58.1
7,8000,540,Wheat,Grade A,4,5,4000,Truck (6-Wheeler),12,0,1,Clear,46.9
5,6900,1650,Wheat,Grade A,3,3,1000,Bullock Cart,10,3,0,Clear,40.1
1,1200,760,Cotton,Grade C (High Moisture),4,9,2500,Tractor Trolley,11,5,0,Clear,17.5
11,12100,160,Soybean,Grade B,2,8,1000,Tractor Trolley,12,5,0,Clear,73.6
8,8700,2200,Cotton,Grade B,3,6,1500,Tractor Trolley,12,2,0,Clear,56.5
2,2200,570,Cotton,Grade A,3,9,4000,Mini Truck (Pickup),16,2,0,Overcast,14.4
2,2000,1670,Paddy,Grade C (High Moisture),2,3,1000,Tractor Trolley,15,1,1,Clear,35.4
9,13300,740,Wheat,Grade A,5,12,1000,Tractor Trolley,13,2,0,Clear,26.6
5,5500,2500,Wheat,Grade A,3,7,500,Truck (6-Wheeler),14,0,0,Clear,25.2
7,10000,2170,Soybean,Grade C (High Moisture),2,2,1500,Mini Truck (Pickup),14,4,0,Clear,99.4
2,2100,5000,Wheat,Grade A,3,9,1500,Tractor Trolley,14,3,1,Overcast,15.2
12,14900,1130,Sugarcane,Grade B,4,6,1500,Tractor Trolley,10,1,1,Light Rain,86.7
11,10800,560,Wheat,Grade A,2,4,1500,Truck (6-Wheeler),10,1,1,Clear,101.2
8,7700,460,Mustard,Grade A,3,7,500,Tractor Trolley,12,1,0,Overcast,40.3
2,2300,1580,Chana,Grade B,4,9,1000,Tractor Trolley,8,1,0,Clear,13.4
9,10100,1510,Paddy,Grade B,2,4,1000,Tractor Trolley,8,3,0,Heavy Rain,106.9
9,11600,700,Mustard,Grade A,2,3,1000,Mini Truck (Pickup),11,5,0,Clear,89.5
12,17800,1040,Paddy,Grade B,5,4,4000,Bullock Cart,10,2,1,Clear,77.0
8,10800,1930,Paddy,Grade A,2,2,1500,Mini Truck (Pickup),11,4,0,Heavy Rain,101.4
14,17100,2760,Wheat,Grade A,3,7,1500,Tractor Trolley,11,5,1,Clear,59.2
7,7500,1630,Maize,Grade B,3,4,2500,Tractor Trolley,12,5,0,Overcast,53.2
11,11300,830,Wheat,Grade B,3,7,1500,Tractor Trolley,10,0,0,Overcast,47.7
3,3800,540,Paddy,Grade B,2,2,1000,Tractor Trolley,16,5,1,Clear,41.2
9,11600,970,Sugarcane,Grade A,2,7,1000,Tractor Trolley,11,1,1,Clear,56.8
5,6200,1430,Paddy,Grade A,2,3,1000,Tractor Trolley,11,6,0,Clear,48.7
6,7600,1700,Paddy,Grade A,3,3,500,Bullock Cart,11,2,0,Clear,46.0
8,9600,2640,Sugarcane,Grade B,2,6,1500,Mini Truck (Pickup),10,2,0,Clear,50.3
7,7500,2270,Paddy,Grade A,2,6,1000,Tractor Trolley,10,2,1,Light Rain,61.8
4,5700,630,Paddy,Grade A,2,7,1500,Truck (6-Wheeler),12,1,0,Clear,33.2
6,8100,990,Maize,Grade A,4,5,1000,Tractor Trolley,11,1,0,Clear,31.3
12,15500,970,Paddy,Grade C (High Moisture),2,7,1000,Truck (6-Wheeler),11,2,0,Light Rain,117.9
12,13200,1680,Wheat,Grade B,3,2,1000,Tractor Trolley,12,3,0,Overcast,74.5
1,1000,1700,Paddy,Grade A,5,11,1500,Mini Truck (Pickup),8,5,1,Heavy Rain,45.2
6,7800,1240,Mustard,Grade B,2,3,1500,Tractor Trolley,10,2,0,Clear,71.2
4,5600,690,Wheat,Grade B,2,5,1000,Tractor Trolley,17,1,0,Clear,25.2
